Jour;jour_annee;tmax;tmin
20 OCTOBRE;294;13.98;5.74
21 OCTOBRE;295;13.49;5.1
22 OCTOBRE;296;13.42;4.99
23 OCTOBRE;297;13.26;5.66
24 OCTOBRE;298;13.14;5.8
25 OCTOBRE;299;12.91;5.82
26 OCTOBRE;300;12.38;4.66
27 OCTOBRE;301;12.25;4.82
28 OCTOBRE;302;11.37;5.11
29 OCTOBRE;303;11.16;4.42
30 OCTOBRE;304;11.17;3.91
31 OCTOBRE;305;12.11;5.08
01 NOVEMBRE;306;11.94;4.65
02 NOVEMBRE;307;10.48;3.97
03 NOVEMBRE;308;10.38;3.45
04 NOVEMBRE;309;9.79;3.92
05 NOVEMBRE;310;9.46;2.97
06 NOVEMBRE;311;8.59;2.0
07 NOVEMBRE;312;9.59;3.04
08 NOVEMBRE;313;9.83;4.12
09 NOVEMBRE;314;9.81;4.0
10 NOVEMBRE;315;9.15;3.19
11 NOVEMBRE;316;9.66;3.22
12 NOVEMBRE;317;8.7;2.33
13 NOVEMBRE;318;8.23;2.6
14 NOVEMBRE;319;8.61;2.29
15 NOVEMBRE;320;7.75;3.17
16 NOVEMBRE;321;7.71;2.33
17 NOVEMBRE;322;8.25;2.92
18 NOVEMBRE;323;8.41;2.96
19 NOVEMBRE;324;7.58;2.43
20 NOVEMBRE;325;7.54;1.73
21 NOVEMBRE;326;7.23;2.12
22 NOVEMBRE;327;7.08;1.14
23 NOVEMBRE;328;6.51;1.23
24 NOVEMBRE;329;6.87;1.41
25 NOVEMBRE;330;6.4;1.86
26 NOVEMBRE;331;6.99;1.66
27 NOVEMBRE;332;6.07;1.46
28 NOVEMBRE;333;5.91;0.5
29 NOVEMBRE;334;5.78;0.25
30 NOVEMBRE;335;5.66;0.57
01 DÉCEMBRE;336;5.45;0.34
02 DÉCEMBRE;337;5.21;0.08
03 DÉCEMBRE;338;5.77;0.88
04 DÉCEMBRE;339;6.05;0.03
05 DÉCEMBRE;340;5.57;0.51
06 DÉCEMBRE;341;5.72;0.35
07 DÉCEMBRE;342;5.42;0.3
08 DÉCEMBRE;343;5.12;0.24
09 DÉCEMBRE;344;5.48;0.32
10 DÉCEMBRE;345;5.18;0.09
11 DÉCEMBRE;346;4.93;0.39
12 DÉCEMBRE;347;4.7;-0.02
13 DÉCEMBRE;348;4.74;0.2
14 DÉCEMBRE;349;5.42;0.32
15 DÉCEMBRE;350;5.33;0.79
16 DÉCEMBRE;351;4.86;-0.31
17 DÉCEMBRE;352;4.16;-0.28
18 DÉCEMBRE;353;4.4;-0.61
19 DÉCEMBRE;354;4.33;-0.14
20 DÉCEMBRE;355;4.19;0.0
21 DÉCEMBRE;356;4.63;0.05
22 DÉCEMBRE;357;4.48;0.01
23 DÉCEMBRE;358;4.93;0.22
24 DÉCEMBRE;359;4.44;0.57
25 DÉCEMBRE;360;4.38;0.45
26 DÉCEMBRE;361;4.14;-0.64
27 DÉCEMBRE;362;3.7;-0.17
28 DÉCEMBRE;363;3.99;-0.53
29 DÉCEMBRE;364;3.72;-0.81
30 DÉCEMBRE;365;3.69;-1.13
31 DÉCEMBRE;366;2.69;-4.09
