Jour;jour_annee;tmax;tmin;tmean
14 AOÛT;227;24.16;13.63;18.78
15 AOÛT;228;23.31;13.72;18.22
16 AOÛT;229;22.34;13.4;17.47
17 AOÛT;230;21.7;12.42;16.64
18 AOÛT;231;21.63;11.87;16.68
19 AOÛT;232;22.01;12.11;16.88
20 AOÛT;233;21.49;12.51;16.56
21 AOÛT;234;21.44;11.7;16.57
22 AOÛT;235;20.65;11.36;16.1
23 AOÛT;236;20.8;11.26;15.97
24 AOÛT;237;20.71;11.22;15.67
25 AOÛT;238;20.26;11.0;15.48
26 AOÛT;239;21.16;11.47;16.2
27 AOÛT;240;20.85;11.75;15.99
28 AOÛT;241;21.27;10.8;16.09
29 AOÛT;242;21.52;11.3;16.37
30 AOÛT;243;20.85;11.39;16.07
31 AOÛT;244;19.98;11.22;15.16
01 SEPTEMBRE;245;19.97;10.95;15.23
02 SEPTEMBRE;246;20.48;11.18;15.53
03 SEPTEMBRE;247;20.44;11.03;15.62
04 SEPTEMBRE;248;19.77;11.03;15.31
05 SEPTEMBRE;249;19.94;11.24;15.28
06 SEPTEMBRE;250;19.47;10.25;14.43
07 SEPTEMBRE;251;19.24;10.05;14.43
08 SEPTEMBRE;252;19.95;10.31;15.06
09 SEPTEMBRE;253;19.69;10.46;14.74
10 SEPTEMBRE;254;19.41;9.75;14.48
11 SEPTEMBRE;255;19.46;9.88;14.64
12 SEPTEMBRE;256;19.51;10.58;14.72
13 SEPTEMBRE;257;18.88;10.22;14.2
14 SEPTEMBRE;258;18.85;10.12;14.31
15 SEPTEMBRE;259;18.7;10.47;14.34
16 SEPTEMBRE;260;18.61;9.86;13.78
17 SEPTEMBRE;261;19.06;9.65;14.41
18 SEPTEMBRE;262;19.14;10.0;14.18
19 SEPTEMBRE;263;18.73;9.67;14.12
20 SEPTEMBRE;264;18.6;9.53;13.89
21 SEPTEMBRE;265;18.55;9.38;13.74
22 SEPTEMBRE;266;18.08;9.49;13.48
23 SEPTEMBRE;267;17.63;9.02;12.98
24 SEPTEMBRE;268;18.15;9.03;13.35
