Jour;jour_annee;tmax;tmin
28 JUIN;180;26.57;13.75
29 JUIN;181;26.67;13.82
30 JUIN;182;26.14;13.19
01 JUILLET;183;25.63;14.1
02 JUILLET;184;25.97;15.28
03 JUILLET;185;24.7;14.11
04 JUILLET;186;24.98;13.52
05 JUILLET;187;24.75;13.71
06 JUILLET;188;23.72;13.17
07 JUILLET;189;24.79;13.4
08 JUILLET;190;24.24;13.85
09 JUILLET;191;25.1;13.06
10 JUILLET;192;26.14;12.99
11 JUILLET;193;25.55;13.75
12 JUILLET;194;26.17;14.86
13 JUILLET;195;26.55;15.35
14 JUILLET;196;27.17;14.58
15 JUILLET;197;28.07;14.62
16 JUILLET;198;25.46;14.46
17 JUILLET;199;25.82;13.69
18 JUILLET;200;25.56;13.57
19 JUILLET;201;26.59;14.73
20 JUILLET;202;26.91;14.01
21 JUILLET;203;26.01;14.56
22 JUILLET;204;26.36;13.53
23 JUILLET;205;26.01;14.09
24 JUILLET;206;26.44;14.21
25 JUILLET;207;27.28;14.62
26 JUILLET;208;27.58;14.72
27 JUILLET;209;27.32;14.72
28 JUILLET;210;27.11;13.64
29 JUILLET;211;26.54;13.35
30 JUILLET;212;26.76;13.18
31 JUILLET;213;27.68;14.08
01 AOÛT;214;26.34;15.13
02 AOÛT;215;25.58;14.14
03 AOÛT;216;26.57;13.87
04 AOÛT;217;25.62;13.98
05 AOÛT;218;26.82;14.09
06 AOÛT;219;26.22;14.72
07 AOÛT;220;25.11;14.83
08 AOÛT;221;24.85;13.99
09 AOÛT;222;24.94;13.86
10 AOÛT;223;24.31;13.42
11 AOÛT;224;25.49;13.36
12 AOÛT;225;24.6;13.73
13 AOÛT;226;24.78;13.68
14 AOÛT;227;24.8;14.21
15 AOÛT;228;24.95;13.46
16 AOÛT;229;25.34;14.19
17 AOÛT;230;26.05;14.59
18 AOÛT;231;27.05;14.21
19 AOÛT;232;25.19;14.85
20 AOÛT;233;23.77;13.63
21 AOÛT;234;23.16;13.72
22 AOÛT;235;24.7;12.75
