Jour;jour_annee;tmax;tmin;tmean
20 AOÛT;233;21.53;12.56;16.59
21 AOÛT;234;21.53;12.09;16.51
22 AOÛT;235;20.58;11.77;15.85
23 AOÛT;236;20.5;11.49;15.72
24 AOÛT;237;20.61;11.59;15.58
25 AOÛT;238;20.32;11.18;15.5
26 AOÛT;239;21.33;11.78;16.24
27 AOÛT;240;20.64;12.07;16.07
28 AOÛT;241;21.29;11.34;16.13
29 AOÛT;242;21.51;11.64;16.42
30 AOÛT;243;21.0;11.73;15.99
31 AOÛT;244;19.68;11.09;14.92
01 SEPTEMBRE;245;19.9;11.03;15.05
02 SEPTEMBRE;246;20.46;11.37;15.54
03 SEPTEMBRE;247;20.24;11.5;15.44
04 SEPTEMBRE;248;19.7;11.28;15.21
05 SEPTEMBRE;249;19.68;11.1;15.11
06 SEPTEMBRE;250;19.3;10.57;14.36
07 SEPTEMBRE;251;19.06;10.08;14.45
08 SEPTEMBRE;252;19.73;10.47;15.03
09 SEPTEMBRE;253;19.6;10.77;14.57
10 SEPTEMBRE;254;19.32;9.9;14.5
11 SEPTEMBRE;255;19.35;10.16;14.42
12 SEPTEMBRE;256;19.4;10.66;14.59
13 SEPTEMBRE;257;18.65;10.3;13.94
14 SEPTEMBRE;258;18.76;10.17;14.18
15 SEPTEMBRE;259;18.4;10.5;13.96
16 SEPTEMBRE;260;18.22;9.66;13.56
17 SEPTEMBRE;261;19.05;10.04;14.24
18 SEPTEMBRE;262;18.86;10.07;13.95
19 SEPTEMBRE;263;18.54;9.88;13.95
20 SEPTEMBRE;264;18.47;9.81;13.84
21 SEPTEMBRE;265;18.28;9.82;13.55
22 SEPTEMBRE;266;17.89;9.54;13.35
23 SEPTEMBRE;267;17.75;9.22;12.94
24 SEPTEMBRE;268;18.12;9.1;13.26
25 SEPTEMBRE;269;17.45;9.41;13.01
26 SEPTEMBRE;270;17.24;8.64;12.52
27 SEPTEMBRE;271;17.44;9.03;12.9
28 SEPTEMBRE;272;17.23;8.86;12.58
29 SEPTEMBRE;273;17.08;8.66;12.45
30 SEPTEMBRE;274;16.73;8.45;12.29
01 OCTOBRE;275;15.92;8.51;11.73
02 OCTOBRE;276;15.83;8.47;11.79
03 OCTOBRE;277;16.0;8.05;11.76
04 OCTOBRE;278;16.14;8.28;11.81
05 OCTOBRE;279;15.9;8.17;11.79
06 OCTOBRE;280;15.92;8.73;12.15
07 OCTOBRE;281;15.52;8.43;11.58
08 OCTOBRE;282;14.63;7.56;10.69
09 OCTOBRE;283;14.61;7.78;11.16
10 OCTOBRE;284;15.25;7.7;11.09
11 OCTOBRE;285;14.83;7.09;10.51
12 OCTOBRE;286;13.86;7.2;9.98
13 OCTOBRE;287;13.73;6.45;9.59
14 OCTOBRE;288;13.25;6.05;9.43
15 OCTOBRE;289;13.65;6.67;9.77
16 OCTOBRE;290;13.34;6.16;9.13
17 OCTOBRE;291;12.69;5.96;8.67
18 OCTOBRE;292;12.67;5.46;8.76
19 OCTOBRE;293;12.71;5.54;8.65
20 OCTOBRE;294;12.28;5.16;8.37
21 OCTOBRE;295;12.13;5.08;8.31
22 OCTOBRE;296;11.92;4.87;8.23
23 OCTOBRE;297;11.86;5.71;8.69
24 OCTOBRE;298;11.97;5.56;8.4
25 OCTOBRE;299;11.35;5.15;7.87
26 OCTOBRE;300;11.31;5.15;7.97
27 OCTOBRE;301;11.49;4.84;7.69
28 OCTOBRE;302;11.07;4.85;7.72
29 OCTOBRE;303;9.77;4.49;6.63
30 OCTOBRE;304;9.16;3.32;6.13
31 OCTOBRE;305;10.02;3.89;7.08
01 NOVEMBRE;306;10.53;4.48;7.27
02 NOVEMBRE;307;9.99;3.98;6.81
03 NOVEMBRE;308;8.85;3.24;5.83
04 NOVEMBRE;309;8.52;2.53;5.3
05 NOVEMBRE;310;8.37;2.73;5.26
06 NOVEMBRE;311;7.51;2.18;4.49
07 NOVEMBRE;312;7.62;1.89;4.53
08 NOVEMBRE;313;8.33;2.48;5.66
09 NOVEMBRE;314;8.16;3.19;5.53
10 NOVEMBRE;315;7.95;2.91;5.38
11 NOVEMBRE;316;7.92;2.68;5.24
12 NOVEMBRE;317;7.67;2.36;4.83
