Jour;jour_annee;tmax;tmin
27 JUIN;179;22.81;12.44
28 JUIN;180;23.01;12.38
29 JUIN;181;22.66;12.65
30 JUIN;182;23.14;12.28
01 JUILLET;183;24.11;12.0
02 JUILLET;184;24.07;12.82
03 JUILLET;185;23.0;13.21
04 JUILLET;186;23.62;12.52
05 JUILLET;187;24.18;13.19
06 JUILLET;188;23.83;12.79
07 JUILLET;189;23.9;12.51
08 JUILLET;190;24.35;13.17
09 JUILLET;191;24.56;13.42
10 JUILLET;192;24.56;12.99
11 JUILLET;193;25.17;13.34
12 JUILLET;194;25.2;13.88
13 JUILLET;195;24.8;13.5
14 JUILLET;196;24.42;13.1
15 JUILLET;197;24.12;13.09
16 JUILLET;198;23.72;14.12
17 JUILLET;199;23.07;13.66
18 JUILLET;200;23.9;13.54
19 JUILLET;201;23.3;13.59
20 JUILLET;202;23.74;13.58
21 JUILLET;203;24.57;13.06
22 JUILLET;204;24.6;13.46
23 JUILLET;205;24.66;12.98
24 JUILLET;206;24.34;12.74
25 JUILLET;207;24.31;13.02
26 JUILLET;208;24.46;13.82
27 JUILLET;209;24.51;13.62
28 JUILLET;210;25.12;13.71
29 JUILLET;211;25.37;13.7
30 JUILLET;212;25.8;13.1
31 JUILLET;213;25.98;13.45
01 AOÛT;214;25.85;14.01
02 AOÛT;215;25.36;13.88
03 AOÛT;216;25.14;14.48
04 AOÛT;217;25.33;13.21
05 AOÛT;218;25.43;13.39
06 AOÛT;219;24.82;13.3
07 AOÛT;220;24.64;12.76
08 AOÛT;221;24.2;12.67
09 AOÛT;222;24.11;13.09
10 AOÛT;223;23.75;13.53
11 AOÛT;224;24.6;13.12
12 AOÛT;225;24.46;13.08
13 AOÛT;226;25.52;13.87
14 AOÛT;227;25.65;13.6
15 AOÛT;228;25.15;13.76
16 AOÛT;229;23.69;13.08
17 AOÛT;230;23.66;12.25
18 AOÛT;231;24.12;11.91
19 AOÛT;232;22.93;13.09
20 AOÛT;233;23.43;12.06
21 AOÛT;234;22.66;13.0
22 AOÛT;235;22.01;11.93
23 AOÛT;236;22.32;11.73
24 AOÛT;237;21.68;11.46
25 AOÛT;238;22.62;11.37
26 AOÛT;239;22.32;11.72
27 AOÛT;240;22.12;11.54
28 AOÛT;241;23.62;11.23
29 AOÛT;242;23.43;12.15
30 AOÛT;243;22.28;11.45
31 AOÛT;244;21.56;11.27
01 SEPTEMBRE;245;22.92;11.54
02 SEPTEMBRE;246;22.22;10.8
03 SEPTEMBRE;247;22.03;10.99
04 SEPTEMBRE;248;22.15;11.25
05 SEPTEMBRE;249;21.32;10.97
06 SEPTEMBRE;250;20.94;10.29
07 SEPTEMBRE;251;21.53;9.83
08 SEPTEMBRE;252;21.78;10.38
09 SEPTEMBRE;253;21.74;10.14
10 SEPTEMBRE;254;21.21;9.66
11 SEPTEMBRE;255;21.2;10.01
12 SEPTEMBRE;256;21.12;10.28
13 SEPTEMBRE;257;20.68;10.46
14 SEPTEMBRE;258;20.68;10.25
15 SEPTEMBRE;259;20.63;10.54
16 SEPTEMBRE;260;21.27;9.95
17 SEPTEMBRE;261;20.68;10.59
18 SEPTEMBRE;262;20.38;10.36
19 SEPTEMBRE;263;20.52;8.87
20 SEPTEMBRE;264;20.48;9.01
21 SEPTEMBRE;265;20.23;9.77
22 SEPTEMBRE;266;19.36;8.49
23 SEPTEMBRE;267;19.77;8.54
24 SEPTEMBRE;268;19.4;8.3
25 SEPTEMBRE;269;18.59;8.12
26 SEPTEMBRE;270;18.58;8.42
27 SEPTEMBRE;271;18.63;7.84
28 SEPTEMBRE;272;18.97;8.31
29 SEPTEMBRE;273;18.52;8.11
30 SEPTEMBRE;274;17.75;8.6
01 OCTOBRE;275;17.64;8.65
02 OCTOBRE;276;17.99;8.77
03 OCTOBRE;277;17.68;8.03
04 OCTOBRE;278;17.24;7.76
05 OCTOBRE;279;17.54;7.08
06 OCTOBRE;280;16.5;7.81
07 OCTOBRE;281;16.76;8.21
08 OCTOBRE;282;15.96;7.33
09 OCTOBRE;283;16.66;7.6
10 OCTOBRE;284;16.78;6.31
11 OCTOBRE;285;15.24;6.48
12 OCTOBRE;286;15.1;6.4
13 OCTOBRE;287;14.61;6.64
14 OCTOBRE;288;14.78;6.16
15 OCTOBRE;289;14.8;5.48
16 OCTOBRE;290;14.46;5.01
17 OCTOBRE;291;13.52;5.0
18 OCTOBRE;292;13.85;5.38
19 OCTOBRE;293;13.57;4.85
20 OCTOBRE;294;13.13;4.69
21 OCTOBRE;295;12.45;3.55
22 OCTOBRE;296;12.87;3.58
23 OCTOBRE;297;13.09;4.5
24 OCTOBRE;298;12.68;4.82
25 OCTOBRE;299;12.56;4.36
26 OCTOBRE;300;11.96;3.42
27 OCTOBRE;301;11.82;3.72
28 OCTOBRE;302;11.22;4.39
29 OCTOBRE;303;10.62;3.48
30 OCTOBRE;304;10.36;3.43
31 OCTOBRE;305;11.37;3.83
01 NOVEMBRE;306;11.54;3.74
02 NOVEMBRE;307;10.42;3.62
03 NOVEMBRE;308;9.21;3.07
04 NOVEMBRE;309;9.47;2.61
05 NOVEMBRE;310;8.91;1.71
06 NOVEMBRE;311;8.23;1.25
07 NOVEMBRE;312;8.57;2.29
08 NOVEMBRE;313;9.76;3.1
09 NOVEMBRE;314;9.6;3.27
10 NOVEMBRE;315;9.23;2.72
11 NOVEMBRE;316;9.55;2.74
12 NOVEMBRE;317;8.05;1.95
13 NOVEMBRE;318;8.08;1.79
14 NOVEMBRE;319;8.28;0.81
15 NOVEMBRE;320;8.17;2.77
